id,date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race
1,2022-09-09,18:58:57,Homicide,Philadelphia,PA,9916 Broadway,34,Male,Other
2,2022-07-10,12:10:59,Assault,Phoenix,AZ,6853 Oak St,13,Female,Black
3,2024-12-31,09:26:12,Burglary,San Antonio,TX,3760 Maple Ave,23,Male,Asian
4,2024-04-12,23:17:28,Vandalism,Philadelphia,PA,6781 Main St,36,Other,Asian
5,2023-07-19,04:49:39,Fraud,San Antonio,TX,3239 Broadway,26,Other,Other
6,2021-09-30,03:17:56,Drug Offense,Chicago,IL,635 Oak St,70,Non-binary,Other
7,2024-11-22,08:41:48,Homicide,Philadelphia,PA,2725 Pine St,48,Other,Asian
8,2023-12-09,08:10:36,Drug Offense,Houston,TX,457 Pine St,47,Non-binary,Asian
9,2020-08-06,04:13:54,Fraud,Houston,TX,7584 Oak St,28,Other,Black
10,2024-04-09,07:18:22,Domestic Violence,San Diego,CA,9233 Main St,44,Female,White
11,2023-03-11,02:36:36,Arson,New York,NY,9278 Elm St,29,Non-binary,Hispanic
12,2023-04-13,22:33:27,Burglary,Chicago,IL,5313 Pine St,20,Female,Other
13,2022-07-27,12:36:44,Domestic Violence,New York,NY,6760 Oak St,30,Other,Hispanic
14,2022-02-03,00:03:33,Theft,San Diego,CA,9702 Elm St,17,Male,Other
15,2020-09-04,06:02:52,Theft,Dallas,TX,786 Oak St,53,Other,White
16,2022-10-08,05:15:36,Homicide,New York,NY,130 Main St,29,Male,Black
17,2021-05-03,18:08:12,Vandalism,Los Angeles,CA,1874 Elm St,90,Female,Asian
18,2023-04-17,05:15:45,Robbery,Philadelphia,PA,8306 Pine St,39,Other,Asian
19,2024-04-21,08:11:18,Domestic Violence,Chicago,IL,9418 Pine St,61,Male,Hispanic
20,2022-04-13,17:50:42,Robbery,Chicago,IL,9097 Broadway,38,Non-binary,Black
21,2021-04-11,13:29:16,Robbery,San Antonio,TX,2022 Oak St,60,Female,Other
22,2021-05-02,18:27:55,Theft,Philadelphia,PA,2397 Elm St,25,Non-binary,White
23,2025-03-22,17:48:24,Burglary,Chicago,IL,6803 Pine St,90,Non-binary,Hispanic
24,2024-11-27,11:13:43,Burglary,San Antonio,TX,841 Oak St,40,Male,Black
25,2025-04-18,19:27:42,Vandalism,Los Angeles,CA,5908 Pine St,34,Other,Black
26,2025-04-29,22:26:29,Theft,San Diego,CA,6420 Pine St,34,Female,Black
27,2020-07-31,12:37:25,Domestic Violence,Philadelphia,PA,960 Pine St,29,Male,Asian
28,2022-10-31,21:11:58,Fraud,Houston,TX,5435 Main St,16,Female,Hispanic
29,2020-12-18,23:44:06,Assault,Dallas,TX,5734 Broadway,41,Male,Other
30,2023-01-05,13:16:06,Domestic Violence,Houston,TX,1677 Elm St,60,Male,Hispanic
31,2021-12-15,02:59:11,Burglary,Philadelphia,PA,5657 Main St,71,Non-binary,Other
32,2021-08-19,23:22:06,Drug Offense,San Antonio,TX,5146 Broadway,62,Female,Hispanic
33,2023-02-27,11:34:52,Vandalism,Phoenix,AZ,62 Oak St,45,Non-binary,Asian
34,2020-10-31,02:59:27,Fraud,Los Angeles,CA,8978 Broadway,66,Other,Hispanic
35,2024-09-09,06:55:24,Homicide,New York,NY,2205 Maple Ave,25,Female,Black
36,2023-01-22,19:26:08,Burglary,Los Angeles,CA,7051 Broadway,53,Other,Black
37,2020-10-23,03:32:52,Domestic Violence,Philadelphia,PA,9007 Oak St,67,Female,Hispanic
38,2021-05-06,12:00:53,Arson,Chicago,IL,6896 Oak St,65,Other,Hispanic
39,2022-05-26,13:22:45,Domestic Violence,Houston,TX,1537 Main St,77,Other,Hispanic
40,2021-07-19,22:10:28,Arson,Los Angeles,CA,7582 Elm St,46,Female,Black
41,2021-09-25,10:45:32,Burglary,Phoenix,AZ,860 Pine St,40,Female,Black
42,2025-03-20,20:54:05,Homicide,New York,NY,8884 Elm St,51,Other,Hispanic
43,2024-03-12,02:04:32,Assault,San Antonio,TX,4791 Broadway,23,Male,Other
44,2024-08-22,19:07:49,Burglary,New York,NY,2071 Main St,69,Other,Black
45,2024-11-24,22:13:00,Assault,Dallas,TX,8072 Elm St,30,Male,Hispanic
46,2022-09-07,16:30:49,Assault,San Antonio,TX,8122 Main St,30,Non-binary,Asian
47,2021-08-08,13:23:27,Robbery,Los Angeles,CA,1061 Pine St,36,Non-binary,White
48,2021-01-25,22:41:26,Arson,New York,NY,9898 Main St,52,Male,Hispanic
49,2020-08-26,11:38:13,Burglary,Dallas,TX,2983 Maple Ave,82,Non-binary,White
50,2022-05-22,23:53:37,Drug Offense,Chicago,IL,424 Main St,41,Non-binary,Asian
51,2023-12-02,05:32:02,Robbery,Houston,TX,3175 Main St,46,Male,Asian
52,2023-01-07,21:19:28,Assault,Los Angeles,CA,8643 Maple Ave,74,Male,White
53,2022-01-05,15:12:41,Homicide,San Jose,CA,8873 Elm St,56,Male,White
54,2021-07-24,12:26:35,Arson,Houston,TX,393 Elm St,81,Male,Black
55,2022-03-26,03:29:57,Arson,Phoenix,AZ,9571 Broadway,64,Other,Other
56,2023-10-11,04:17:30,Drug Offense,San Diego,CA,2489 Oak St,67,Non-binary,Black
57,2025-05-02,19:06:39,Burglary,Dallas,TX,1850 Elm St,20,Other,Asian
58,2024-12-18,14:01:18,Assault,Los Angeles,CA,9401 Main St,55,Other,White
59,2022-04-04,13:14:47,Burglary,Phoenix,AZ,1537 Pine St,14,Male,White
60,2020-10-05,08:34:56,Assault,Houston,TX,16 Main St,64,Female,Asian
61,2022-02-16,19:15:03,Burglary,San Jose,CA,5164 Oak St,40,Male,White
62,2021-09-09,02:27:51,Arson,San Jose,CA,9566 Broadway,28,Male,Asian
63,2023-08-13,04:13:16,Domestic Violence,Philadelphia,PA,9038 Oak St,82,Other,Black
64,2023-02-09,19:05:25,Domestic Violence,San Antonio,TX,9607 Broadway,34,Female,White
65,2023-01-10,23:48:26,Theft,Houston,TX,8155 Elm St,35,Non-binary,Black
66,2020-11-04,14:20:57,Vandalism,Dallas,TX,5617 Oak St,90,Male,Hispanic
67,2023-10-24,17:20:03,Domestic Violence,New York,NY,1167 Pine St,74,Non-binary,Other
68,2024-06-10,05:35:39,Burglary,San Diego,CA,186 Broadway,14,Male,Asian
69,2020-12-26,09:00:48,Theft,San Antonio,TX,7635 Main St,26,Male,Black
70,2024-08-05,06:56:19,Domestic Violence,Houston,TX,9329 Broadway,33,Other,Other
71,2023-11-14,01:53:10,Assault,San Diego,CA,3412 Main St,27,Male,Black
72,2023-02-14,17:48:45,Robbery,Los Angeles,CA,5325 Elm St,59,Non-binary,White
73,2022-05-13,16:36:02,Arson,Chicago,IL,6481 Main St,26,Other,White
74,2023-04-13,02:41:24,Vandalism,Chicago,IL,8414 Oak St,67,Non-binary,Hispanic
75,2024-09-16,02:17:31,Assault,Los Angeles,CA,1254 Oak St,62,Male,Black
76,2022-05-02,22:16:39,Arson,Phoenix,AZ,2589 Oak St,56,Other,Hispanic
77,2021-10-29,05:28:11,Fraud,Dallas,TX,8318 Pine St,65,Non-binary,Asian
78,2025-04-26,15:20:56,Burglary,Los Angeles,CA,5269 Main St,24,Female,Asian
79,2024-08-12,06:33:11,Homicide,Houston,TX,924 Pine St,52,Male,Hispanic
80,2023-08-03,04:39:10,Burglary,San Diego,CA,4340 Maple Ave,50,Female,Asian
81,2023-05-27,06:25:14,Domestic Violence,San Jose,CA,2261 Elm St,70,Female,Other
82,2022-04-22,02:04:27,Burglary,Phoenix,AZ,4441 Elm St,44,Female,Asian
83,2022-12-08,18:20:22,Drug Offense,Philadelphia,PA,648 Maple Ave,43,Female,Other
84,2021-02-25,06:27:40,Homicide,San Jose,CA,1114 Elm St,39,Male,Black
85,2023-04-19,20:15:11,Vandalism,Philadelphia,PA,4833 Maple Ave,16,Other,Asian
86,2023-11-01,09:54:38,Arson,New York,NY,963 Maple Ave,53,Male,Asian
87,2021-06-27,16:10:58,Domestic Violence,San Diego,CA,9462 Main St,75,Female,Hispanic
88,2025-03-22,04:01:31,Arson,Los Angeles,CA,5074 Oak St,90,Other,Black
89,2024-04-12,06:40:05,Vandalism,Phoenix,AZ,3997 Elm St,89,Female,Hispanic
90,2025-07-04,22:33:19,Homicide,Philadelphia,PA,2783 Main St,15,Other,Other
91,2022-01-10,02:09:25,Assault,Los Angeles,CA,282 Oak St,41,Other,Other
92,2022-03-17,00:09:35,Fraud,Chicago,IL,5634 Maple Ave,82,Male,White
93,2020-11-12,14:22:45,Arson,San Diego,CA,7462 Main St,27,Male,White
94,2022-01-10,00:23:17,Assault,Houston,TX,8231 Maple Ave,54,Female,Black
95,2023-03-01,10:22:08,Vandalism,Chicago,IL,153 Maple Ave,81,Non-binary,Asian
96,2024-10-03,09:22:46,Theft,San Antonio,TX,4998 Pine St,23,Male,Hispanic
97,2021-12-09,14:30:49,Vandalism,Dallas,TX,274 Broadway,35,Male,White
98,2023-07-05,18:55:22,Domestic Violence,Phoenix,AZ,8226 Broadway,20,Non-binary,Other
99,2021-02-16,08:54:47,Assault,San Jose,CA,3114 Pine St,59,Other,Other
100,2024-06-14,16:18:49,Vandalism,San Jose,CA,4227 Oak St,17,Female,Hispanic
101,2021-03-28,12:36:24,Domestic Violence,San Antonio,TX,3426 Pine St,58,Female,Other
102,2021-06-22,15:37:14,Vandalism,Phoenix,AZ,5919 Oak St,86,Male,Black
103,2020-10-31,21:38:39,Fraud,San Antonio,TX,170 Elm St,74,Non-binary,Other
104,2023-02-01,12:49:39,Arson,San Jose,CA,6392 Pine St,67,Female,Asian
105,2025-04-02,07:04:01,Arson,New York,NY,7610 Oak St,41,Male,Other
106,2023-06-25,11:34:54,Homicide,San Jose,CA,5782 Main St,22,Female,Asian
107,2023-07-04,21:46:20,Vandalism,New York,NY,3538 Maple Ave,47,Female,White
108,2024-11-24,22:42:01,Vandalism,Dallas,TX,5547 Maple Ave,25,Non-binary,Other
109,2022-12-18,11:42:29,Domestic Violence,San Diego,CA,5120 Elm St,40,Female,Other
110,2022-09-06,16:09:58,Theft,Phoenix,AZ,8866 Main St,84,Other,Asian
111,2023-12-10,15:04:39,Theft,New York,NY,8904 Oak St,39,Male,Black
112,2021-01-30,03:41:40,Drug Offense,Phoenix,AZ,1619 Maple Ave,34,Other,White
113,2021-01-04,20:59:32,Domestic Violence,Dallas,TX,9992 Elm St,14,Male,White
114,2021-12-05,15:28:42,Fraud,Houston,TX,8074 Elm St,57,Female,White
115,2022-11-10,08:42:49,Vandalism,Dallas,TX,5650 Pine St,38,Male,Other
116,2021-04-02,14:31:31,Theft,San Jose,CA,9405 Maple Ave,16,Non-binary,Other
117,2023-10-14,18:49:01,Burglary,San Jose,CA,7445 Elm St,63,Male,White
118,2022-06-14,03:13:14,Drug Offense,San Diego,CA,5323 Elm St,54,Other,Black
119,2024-02-22,19:51:30,Robbery,Los Angeles,CA,2684 Broadway,85,Male,Asian
120,2025-01-24,15:58:07,Burglary,San Jose,CA,2606 Main St,21,Non-binary,White
121,2023-05-26,06:43:57,Drug Offense,Houston,TX,2447 Oak St,67,Female,White
122,2020-12-02,00:01:42,Vandalism,San Antonio,TX,8238 Elm St,70,Female,Asian
123,2020-11-14,16:46:56,Domestic Violence,San Jose,CA,5115 Broadway,71,Other,Black
124,2022-01-19,09:16:54,Robbery,New York,NY,7673 Broadway,79,Male,Other
125,2023-06-19,23:57:50,Homicide,New York,NY,1764 Maple Ave,67,Male,Asian
126,2025-04-11,13:43:10,Vandalism,San Diego,CA,5295 Main St,30,Male,Other
127,2024-11-06,06:30:56,Fraud,New York,NY,7386 Main St,56,Non-binary,White
128,2025-07-04,22:18:23,Homicide,San Diego,CA,3427 Oak St,83,Other,Other
129,2025-02-05,15:02:14,Theft,Dallas,TX,2087 Maple Ave,33,Non-binary,Hispanic
130,2022-07-28,09:59:53,Domestic Violence,San Antonio,TX,1673 Pine St,40,Other,White
131,2022-12-19,12:05:14,Homicide,Dallas,TX,2690 Broadway,25,Other,Hispanic
132,2021-01-08,16:32:37,Arson,Philadelphia,PA,7265 Pine St,14,Male,Asian
133,2020-11-14,10:00:27,Robbery,Phoenix,AZ,5228 Broadway,17,Male,Black
134,2023-04-24,12:58:24,Drug Offense,San Antonio,TX,2291 Pine St,80,Female,Hispanic
135,2023-01-08,00:39:19,Fraud,San Jose,CA,5138 Broadway,45,Male,Other
136,2023-02-22,18:08:35,Domestic Violence,Philadelphia,PA,1970 Broadway,78,Male,Asian
137,2023-04-27,13:06:27,Robbery,Phoenix,AZ,7634 Maple Ave,56,Male,White
138,2021-09-12,15:10:14,Robbery,San Jose,CA,4216 Oak St,83,Other,Black
139,2021-11-19,00:13:53,Burglary,Philadelphia,PA,37 Elm St,49,Non-binary,Other
140,2023-01-25,02:22:21,Assault,Dallas,TX,2192 Elm St,35,Non-binary,Black
141,2024-12-03,06:51:13,Vandalism,San Diego,CA,5736 Maple Ave,88,Female,Other
142,2024-06-22,12:17:43,Domestic Violence,Philadelphia,PA,3753 Broadway,26,Other,Black
143,2022-07-30,12:10:31,Drug Offense,Philadelphia,PA,6912 Elm St,75,Female,Other
144,2025-02-07,12:33:49,Theft,San Diego,CA,9371 Broadway,61,Other,Other
145,2021-03-20,09:47:49,Fraud,Philadelphia,PA,6120 Main St,39,Male,White
146,2024-10-22,00:47:23,Vandalism,Chicago,IL,3380 Maple Ave,82,Non-binary,Other
147,2022-06-18,10:01:24,Burglary,Los Angeles,CA,9559 Pine St,42,Female,White
148,2022-01-19,06:15:53,Assault,Chicago,IL,2267 Main St,75,Male,Black
149,2022-12-30,18:18:07,Burglary,Dallas,TX,7270 Broadway,40,Other,White
150,2021-04-27,00:33:06,Burglary,Houston,TX,1398 Pine St,34,Non-binary,Black
151,2022-04-13,06:30:36,Burglary,Philadelphia,PA,9084 Main St,70,Other,White
152,2022-04-07,11:50:56,Vandalism,Dallas,TX,3526 Oak St,84,Non-binary,Asian
153,2021-08-22,01:08:25,Domestic Violence,Los Angeles,CA,7447 Elm St,27,Other,White
154,2021-09-01,22:16:54,Vandalism,Dallas,TX,3909 Pine St,18,Other,White
155,2025-06-07,07:52:27,Fraud,Dallas,TX,7130 Oak St,35,Male,White
156,2022-10-09,16:33:55,Assault,Chicago,IL,7079 Pine St,40,Other,White
157,2023-08-22,17:46:28,Assault,San Diego,CA,8196 Pine St,89,Non-binary,Hispanic
158,2021-05-29,12:18:37,Assault,San Jose,CA,5125 Maple Ave,12,Other,White
159,2022-02-20,02:13:08,Vandalism,New York,NY,7381 Pine St,44,Female,Black
160,2021-03-07,06:16:37,Vandalism,San Antonio,TX,1513 Main St,22,Male,Asian
161,2021-03-10,00:58:51,Theft,Phoenix,AZ,4785 Pine St,52,Other,Hispanic
162,2023-12-09,09:34:23,Drug Offense,Dallas,TX,3365 Broadway,72,Non-binary,White
163,2021-06-24,04:11:22,Fraud,Chicago,IL,7198 Maple Ave,28,Other,White
164,2022-07-28,18:00:49,Domestic Violence,San Diego,CA,9778 Main St,89,Male,Asian
165,2021-07-02,00:15:58,Drug Offense,San Diego,CA,5022 Elm St,65,Female,Other
166,2020-10-07,01:01:17,Assault,San Jose,CA,977 Main St,35,Non-binary,Black
167,2023-11-03,10:23:43,Arson,Los Angeles,CA,3886 Main St,34,Female,Black
168,2022-05-28,08:47:10,Arson,Los Angeles,CA,1902 Broadway,38,Female,Other
169,2023-06-28,04:22:25,Vandalism,San Diego,CA,2713 Maple Ave,80,Male,Black
170,2022-12-09,20:59:20,Vandalism,Phoenix,AZ,1393 Pine St,48,Female,Asian
171,2023-01-13,13:54:16,Robbery,San Antonio,TX,4876 Main St,13,Other,Other
172,2020-12-25,05:21:18,Assault,Los Angeles,CA,9716 Broadway,27,Non-binary,Hispanic
173,2025-01-13,14:22:23,Burglary,Houston,TX,5009 Elm St,79,Female,White
174,2023-01-24,05:49:36,Burglary,Dallas,TX,5264 Oak St,60,Other,White
175,2022-09-20,11:05:41,Homicide,Phoenix,AZ,6401 Elm St,75,Female,Other
176,2024-11-17,19:21:46,Drug Offense,New York,NY,2493 Maple Ave,43,Female,Other
177,2022-10-05,18:36:29,Theft,Philadelphia,PA,3045 Broadway,54,Female,Hispanic
178,2023-06-18,09:08:29,Domestic Violence,San Diego,CA,8711 Elm St,81,Non-binary,Black
179,2021-01-16,11:24:34,Burglary,San Diego,CA,1985 Broadway,88,Non-binary,Black
180,2023-10-04,17:52:32,Burglary,Dallas,TX,7012 Maple Ave,45,Non-binary,Other
181,2023-03-12,18:15:04,Theft,Dallas,TX,2421 Main St,67,Other,Asian
182,2024-01-14,22:58:48,Domestic Violence,San Antonio,TX,8111 Broadway,62,Male,Asian
183,2023-08-17,21:56:19,Arson,Philadelphia,PA,1832 Main St,35,Female,White
184,2024-08-23,10:20:08,Domestic Violence,San Diego,CA,7559 Elm St,40,Male,White
185,2022-11-07,08:09:48,Assault,San Diego,CA,961 Pine St,26,Female,Asian
186,2024-03-21,22:17:35,Domestic Violence,Los Angeles,CA,6231 Oak St,44,Male,White
187,2022-01-09,19:00:13,Vandalism,Houston,TX,1905 Pine St,50,Non-binary,Hispanic
188,2023-05-21,22:29:22,Burglary,Phoenix,AZ,2184 Oak St,44,Female,Black
189,2025-01-22,17:20:48,Drug Offense,New York,NY,9031 Elm St,34,Non-binary,Hispanic
190,2022-09-08,15:18:09,Fraud,San Jose,CA,9268 Oak St,62,Female,Other
191,2023-11-01,22:18:41,Drug Offense,Dallas,TX,393 Maple Ave,89,Male,Asian
192,2020-09-25,13:07:29,Theft,Chicago,IL,4651 Pine St,60,Female,White
193,2025-01-29,02:33:24,Theft,Los Angeles,CA,2879 Elm St,73,Female,Hispanic
194,2023-11-20,20:16:26,Domestic Violence,Chicago,IL,6840 Pine St,82,Non-binary,Other
195,2021-07-20,10:56:28,Fraud,Phoenix,AZ,1417 Main St,43,Non-binary,Hispanic
196,2022-12-25,05:46:29,Theft,Dallas,TX,477 Maple Ave,18,Non-binary,Other
197,2020-08-21,22:00:20,Burglary,Houston,TX,8612 Oak St,16,Other,Black
198,2024-01-18,04:49:21,Theft,Houston,TX,916 Oak St,49,Other,Hispanic
199,2020-09-17,13:13:34,Drug Offense,Chicago,IL,5083 Pine St,42,Female,Asian
200,2020-08-25,04:45:28,Drug Offense,Phoenix,AZ,2439 Elm St,41,Non-binary,White
201,2025-03-14,10:27:20,Robbery,San Antonio,TX,5055 Elm St,30,Other,Asian
202,2024-01-19,01:55:07,Vandalism,Houston,TX,6456 Maple Ave,47,Non-binary,Asian
203,2022-02-16,14:12:57,Theft,New York,NY,2775 Main St,19,Other,Black
204,2022-10-21,16:02:02,Drug Offense,Phoenix,AZ,5846 Pine St,31,Female,Hispanic
205,2023-03-10,02:06:28,Fraud,Phoenix,AZ,2285 Elm St,12,Female,White
206,2022-09-24,23:02:00,Homicide,Houston,TX,3954 Broadway,45,Female,Hispanic
207,2021-08-17,05:35:44,Domestic Violence,Philadelphia,PA,7183 Oak St,13,Other,Black
208,2023-12-18,18:17:41,Robbery,San Jose,CA,6741 Pine St,41,Male,White
209,2022-01-23,07:21:01,Robbery,New York,NY,8276 Elm St,23,Female,Asian
210,2025-01-05,08:46:34,Robbery,Dallas,TX,6654 Main St,89,Non-binary,Black
211,2024-07-22,21:57:42,Burglary,San Jose,CA,8734 Main St,87,Female,Asian
212,2024-08-15,06:28:48,Homicide,New York,NY,9579 Maple Ave,47,Female,Other
213,2024-04-06,10:11:49,Burglary,New York,NY,4901 Oak St,76,Male,Black
214,2022-03-14,10:18:07,Domestic Violence,San Diego,CA,2149 Broadway,26,Non-binary,Hispanic
215,2020-12-27,01:42:48,Theft,Houston,TX,7355 Broadway,85,Female,Other
216,2022-06-14,20:05:28,Theft,Houston,TX,138 Main St,76,Other,Hispanic
217,2021-07-15,02:49:18,Fraud,San Antonio,TX,9037 Maple Ave,53,Female,White
218,2023-07-26,05:54:53,Homicide,Los Angeles,CA,1066 Maple Ave,18,Male,Black
219,2024-07-25,12:30:53,Burglary,New York,NY,3185 Elm St,33,Other,White
220,2025-03-06,02:19:07,Arson,Los Angeles,CA,5760 Broadway,28,Female,Other
221,2023-09-22,18:16:17,Theft,Dallas,TX,9064 Pine St,68,Female,Black
222,2021-09-15,16:53:43,Arson,Houston,TX,5451 Maple Ave,43,Male,Asian
223,2023-11-30,06:09:18,Drug Offense,Chicago,IL,2077 Elm St,49,Non-binary,Hispanic
224,2023-12-21,11:12:09,Arson,San Diego,CA,528 Maple Ave,43,Female,White
225,2023-05-02,02:23:44,Vandalism,Los Angeles,CA,7867 Pine St,41,Non-binary,Asian
226,2024-04-14,15:48:20,Fraud,New York,NY,1987 Oak St,40,Male,White
227,2021-07-28,00:48:33,Theft,Houston,TX,2944 Maple Ave,75,Female,White
228,2023-05-12,22:53:50,Homicide,Los Angeles,CA,9815 Broadway,84,Male,Hispanic
229,2023-04-28,23:17:37,Fraud,New York,NY,345 Oak St,70,Other,White
230,2024-06-24,17:51:53,Homicide,Los Angeles,CA,2505 Broadway,48,Non-binary,Other
231,2021-06-29,04:26:49,Homicide,San Diego,CA,149 Main St,60,Non-binary,Asian
232,2021-02-14,14:49:21,Fraud,Dallas,TX,9109 Broadway,37,Other,Hispanic
233,2024-06-10,04:46:32,Domestic Violence,Chicago,IL,858 Maple Ave,34,Non-binary,Asian
234,2022-07-16,22:55:28,Arson,Los Angeles,CA,4975 Broadway,78,Other,Black
235,2023-10-22,10:08:29,Robbery,Chicago,IL,9596 Broadway,49,Other,Asian
236,2021-01-30,01:45:45,Homicide,Dallas,TX,5354 Oak St,43,Female,Asian
237,2023-08-22,00:06:52,Theft,New York,NY,9868 Oak St,39,Non-binary,White
238,2023-03-27,23:01:56,Domestic Violence,San Jose,CA,9000 Pine St,29,Female,Asian
239,2023-05-25,11:11:54,Robbery,Houston,TX,3345 Oak St,50,Other,Asian
240,2023-11-02,00:26:56,Drug Offense,Dallas,TX,673 Main St,52,Other,Black
241,2022-03-06,13:10:59,Domestic Violence,Los Angeles,CA,6560 Elm St,61,Female,White
242,2022-07-14,04:13:32,Robbery,Chicago,IL,3667 Oak St,89,Male,Black
243,2022-12-08,06:40:26,Homicide,San Jose,CA,2014 Maple Ave,87,Other,Hispanic
244,2020-10-12,19:49:30,Arson,Philadelphia,PA,9266 Broadway,41,Other,Hispanic
245,2021-06-29,07:20:38,Homicide,San Jose,CA,9342 Maple Ave,32,Non-binary,Other
246,2024-07-04,19:40:26,Fraud,San Antonio,TX,657 Elm St,36,Female,Asian
247,2025-04-25,18:38:35,Drug Offense,Philadelphia,PA,6665 Maple Ave,14,Non-binary,White
248,2025-05-16,19:34:35,Homicide,Los Angeles,CA,6659 Maple Ave,47,Female,Hispanic
249,2023-08-02,07:49:56,Burglary,Philadelphia,PA,2326 Oak St,85,Female,Asian
