id,date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race
250,2023-07-05,10:20:08,Theft,San Antonio,TX,6536 Elm St,66,Other,Other
251,2024-03-24,17:15:14,Homicide,San Jose,CA,2908 Pine St,29,Male,Other
252,2022-07-08,03:54:19,Burglary,Chicago,IL,6017 Main St,48,Male,White
253,2024-03-08,03:33:32,Domestic Violence,New York,NY,2897 Elm St,75,Female,Black
254,2024-07-11,22:10:27,Burglary,Phoenix,AZ,105 Elm St,79,Male,Black
255,2024-11-13,13:06:18,Homicide,New York,NY,6839 Broadway,89,Male,White
256,2023-03-05,04:03:52,Arson,New York,NY,534 Oak St,53,Male,Other
257,2024-02-05,22:34:01,Robbery,Dallas,TX,1971 Oak St,73,Non-binary,Other
258,2023-08-04,12:37:01,Burglary,New York,NY,5427 Oak St,73,Non-binary,Black
259,2024-03-13,14:18:02,Robbery,San Diego,CA,4177 Broadway,22,Male,Asian
260,2021-02-27,20:05:35,Domestic Violence,Los Angeles,CA,8151 Pine St,53,Non-binary,Other
261,2020-09-17,10:44:00,Burglary,Houston,TX,4528 Broadway,66,Female,White
262,2021-05-09,13:25:23,Theft,Phoenix,AZ,1335 Oak St,86,Male,Hispanic
263,2023-12-24,03:04:18,Drug Offense,Dallas,TX,3406 Oak St,17,Non-binary,Black
264,2023-05-23,11:45:42,Assault,San Diego,CA,1443 Elm St,83,Female,Asian
265,2025-01-19,23:43:30,Domestic Violence,Dallas,TX,9079 Pine St,34,Male,Other
266,2023-02-21,07:06:06,Theft,Los Angeles,CA,3290 Broadway,54,Other,Asian
267,2025-01-22,18:29:50,Arson,Dallas,TX,2833 Main St,24,Non-binary,Asian
268,2023-02-24,00:29:54,Robbery,Phoenix,AZ,201 Broadway,85,Male,Asian
269,2021-02-14,07:05:48,Burglary,Chicago,IL,1975 Main St,90,Male,Other
270,2023-02-03,15:18:40,Domestic Violence,Phoenix,AZ,2155 Maple Ave,31,Female,Other
271,2023-10-20,05:14:41,Assault,San Antonio,TX,3440 Broadway,31,Male,Hispanic
272,2023-12-12,12:50:39,Arson,Philadelphia,PA,6671 Main St,72,Female,Asian
273,2023-08-07,16:45:18,Arson,San Jose,CA,9424 Pine St,70,Male,Hispanic
274,2021-12-14,13:30:06,Arson,New York,NY,417 Broadway,32,Other,Other
275,2021-07-25,18:39:16,Assault,Los Angeles,CA,1013 Broadway,63,Female,Black
276,2022-07-11,23:22:07,Fraud,Philadelphia,PA,3583 Elm St,20,Non-binary,Hispanic
277,2022-06-19,18:30:32,Domestic Violence,Los Angeles,CA,233 Oak St,74,Male,White
278,2020-10-27,04:20:47,Burglary,Chicago,IL,1995 Oak St,53,Other,Asian
279,2024-11-07,08:23:12,Homicide,San Diego,CA,3310 Elm St,18,Non-binary,Black
280,2022-04-14,23:18:20,Assault,Los Angeles,CA,9083 Broadway,84,Other,Black
281,2025-06-07,20:17:28,Robbery,San Antonio,TX,1144 Pine St,80,Female,Asian
282,2023-09-21,22:28:39,Robbery,Los Angeles,CA,6737 Pine St,14,Male,Black
283,2023-08-17,20:43:34,Vandalism,Phoenix,AZ,6289 Main St,63,Male,White
284,2023-03-22,10:16:52,Burglary,Chicago,IL,4284 Pine St,86,Other,Other
285,2024-05-05,10:15:23,Robbery,Philadelphia,PA,2472 Broadway,59,Other,Black
286,2024-09-19,13:41:07,Domestic Violence,San Antonio,TX,7257 Pine St,74,Male,Hispanic
287,2022-02-01,18:40:48,Fraud,Chicago,IL,5898 Broadway,87,Non-binary,Other
288,2025-03-13,02:16:21,Vandalism,New York,NY,6487 Maple Ave,22,Male,Black
289,2021-05-29,18:06:33,Burglary,New York,NY,9066 Elm St,23,Male,Hispanic
290,2024-03-18,04:24:37,Drug Offense,Philadelphia,PA,1001 Maple Ave,57,Non-binary,Other
291,2020-11-22,18:37:53,Burglary,San Antonio,TX,2784 Broadway,34,Other,Other
292,2021-02-05,02:15:35,Burglary,Los Angeles,CA,9210 Elm St,52,Non-binary,White
293,2024-08-01,02:25:41,Arson,Dallas,TX,8441 Pine St,44,Male,Black
294,2021-09-13,07:45:26,Domestic Violence,San Antonio,TX,8758 Maple Ave,18,Male,Other
295,2025-07-26,21:10:41,Robbery,San Diego,CA,5432 Oak St,34,Non-binary,Black
296,2024-07-08,20:44:41,Assault,Philadelphia,PA,8616 Elm St,54,Female,White
297,2024-07-23,10:07:01,Arson,Philadelphia,PA,6772 Elm St,42,Female,Black
298,2023-11-24,05:48:38,Drug Offense,Chicago,IL,2472 Oak St,85,Other,Black
299,2025-03-13,04:20:56,Arson,New York,NY,9148 Main St,73,Male,Other
300,2021-05-22,02:07:41,Fraud,Chicago,IL,9010 Broadway,31,Non-binary,Hispanic
301,2021-10-08,03:07:58,Drug Offense,Philadelphia,PA,6764 Broadway,43,Female,White
302,2023-08-09,00:50:52,Fraud,San Antonio,TX,4622 Main St,54,Non-binary,White
303,2020-09-19,01:38:47,Homicide,Dallas,TX,8279 Maple Ave,42,Non-binary,Hispanic
304,2023-04-10,07:14:25,Drug Offense,Chicago,IL,5111 Broadway,29,Other,White
305,2024-11-21,02:13:49,Vandalism,New York,NY,2967 Maple Ave,48,Male,Asian
306,2022-09-10,00:41:27,Fraud,San Antonio,TX,8198 Elm St,49,Male,Hispanic
307,2023-07-10,03:35:09,Assault,Chicago,IL,8579 Elm St,25,Male,Other
308,2022-05-26,00:34:20,Theft,San Antonio,TX,4330 Maple Ave,44,Non-binary,Black
309,2022-03-28,16:11:20,Homicide,San Antonio,TX,5145 Pine St,78,Male,White
310,2021-04-30,21:09:45,Robbery,San Jose,CA,194 Broadway,84,Non-binary,Asian
311,2021-05-29,03:00:58,Theft,Dallas,TX,97 Pine St,52,Female,Hispanic
312,2021-01-13,06:36:00,Robbery,Phoenix,AZ,7647 Pine St,40,Female,Asian
313,2024-10-27,02:10:34,Assault,Chicago,IL,1802 Oak St,65,Male,White
314,2024-03-02,01:48:09,Domestic Violence,Los Angeles,CA,3309 Maple Ave,36,Other,White
315,2025-04-18,23:22:57,Drug Offense,New York,NY,71 Main St,90,Female,Hispanic
316,2023-10-13,14:25:47,Vandalism,Philadelphia,PA,7858 Pine St,90,Male,Asian
317,2022-03-15,18:36:41,Burglary,Philadelphia,PA,8893 Oak St,61,Female,Hispanic
318,2023-01-18,03:18:09,Robbery,New York,NY,7866 Main St,22,Non-binary,Hispanic
319,2021-08-22,22:59:41,Vandalism,San Antonio,TX,3060 Oak St,48,Non-binary,Black
320,2023-10-18,12:46:42,Drug Offense,Los Angeles,CA,7411 Pine St,34,Female,White
321,2024-03-30,07:38:27,Arson,Dallas,TX,2584 Maple Ave,30,Male,White
322,2023-11-02,00:34:04,Theft,Chicago,IL,1307 Elm St,69,Male,Asian
323,2024-06-12,18:20:23,Burglary,Dallas,TX,2819 Main St,19,Other,Asian
324,2024-03-13,16:24:37,Domestic Violence,New York,NY,8335 Pine St,82,Other,White
325,2024-11-29,08:08:40,Assault,San Jose,CA,7548 Oak St,76,Male,Other
326,2022-10-06,08:25:59,Theft,Philadelphia,PA,8414 Broadway,84,Female,Asian
327,2023-02-23,10:09:47,Homicide,San Jose,CA,2513 Pine St,89,Female,Asian
328,2022-08-20,01:40:04,Drug Offense,San Antonio,TX,5394 Pine St,28,Female,Other
329,2022-08-31,04:49:07,Fraud,San Antonio,TX,4115 Oak St,56,Female,Black
330,2024-12-15,23:52:50,Drug Offense,Philadelphia,PA,5712 Maple Ave,64,Male,Hispanic
331,2024-11-29,11:06:46,Drug Offense,Philadelphia,PA,5851 Oak St,61,Other,Hispanic
332,2023-03-03,10:30:24,Assault,New York,NY,9501 Elm St,15,Other,Black
333,2023-03-16,13:32:16,Arson,New York,NY,14 Broadway,47,Male,Hispanic
334,2023-09-10,06:18:02,Homicide,Dallas,TX,7779 Main St,69,Female,Hispanic
335,2021-06-07,04:18:53,Theft,New York,NY,4127 Broadway,25,Male,Asian
336,2023-07-06,18:53:00,Arson,Phoenix,AZ,105 Pine St,54,Female,Asian
337,2024-11-01,18:27:33,Assault,New York,NY,6696 Elm St,62,Other,White
338,2020-12-29,16:24:01,Theft,Phoenix,AZ,6060 Elm St,85,Female,Other
339,2024-06-03,22:58:49,Homicide,Dallas,TX,8881 Main St,41,Female,Hispanic
340,2025-04-16,10:06:00,Robbery,New York,NY,3195 Elm St,42,Other,Hispanic
341,2022-10-04,01:42:43,Robbery,Chicago,IL,8168 Elm St,27,Female,Hispanic
342,2024-07-30,15:39:50,Burglary,Dallas,TX,3350 Elm St,64,Non-binary,Black
343,2020-12-11,12:34:26,Theft,Philadelphia,PA,3974 Elm St,78,Female,Other
344,2025-06-05,18:38:28,Arson,San Jose,CA,7953 Main St,77,Non-binary,Black
345,2022-07-21,14:38:50,Burglary,Dallas,TX,2366 Maple Ave,44,Non-binary,Hispanic
346,2024-05-11,06:59:42,Vandalism,Dallas,TX,1152 Pine St,85,Male,Other
347,2023-08-29,17:17:41,Fraud,Phoenix,AZ,3983 Maple Ave,75,Male,Other
348,2025-02-19,03:54:34,Arson,Chicago,IL,3762 Elm St,13,Other,Other
349,2023-03-31,17:13:37,Domestic Violence,Houston,TX,8937 Main St,83,Non-binary,Other
350,2025-04-12,20:03:24,Fraud,San Antonio,TX,3322 Main St,79,Male,Black
351,2022-07-21,03:50:26,Theft,Dallas,TX,4606 Main St,60,Male,Other
352,2023-06-25,21:31:44,Vandalism,Dallas,TX,281 Pine St,64,Female,Asian
353,2022-03-15,08:24:47,Domestic Violence,Chicago,IL,5360 Elm St,86,Male,White
354,2022-07-16,05:12:22,Domestic Violence,Houston,TX,5577 Broadway,26,Male,Black
355,2023-09-23,20:46:07,Arson,San Jose,CA,7884 Elm St,51,Non-binary,Black
356,2021-11-23,08:37:35,Drug Offense,San Diego,CA,6725 Pine St,63,Other,Hispanic
357,2021-06-19,13:13:41,Burglary,Chicago,IL,1027 Elm St,47,Male,Other
358,2021-06-09,23:34:42,Theft,Dallas,TX,8093 Main St,23,Other,White
359,2025-07-12,18:48:10,Arson,Philadelphia,PA,8683 Maple Ave,12,Other,Hispanic
360,2023-12-22,10:55:23,Theft,Philadelphia,PA,259 Maple Ave,64,Male,White
361,2024-05-25,15:21:50,Robbery,Phoenix,AZ,1531 Maple Ave,61,Male,Other
362,2025-07-11,22:16:28,Assault,Philadelphia,PA,3876 Oak St,58,Male,White
363,2024-05-10,04:06:20,Robbery,Phoenix,AZ,8067 Main St,64,Female,Asian
364,2023-12-22,00:55:42,Burglary,Philadelphia,PA,7902 Pine St,20,Female,White
365,2024-11-04,12:51:15,Domestic Violence,Chicago,IL,5443 Maple Ave,54,Female,White
366,2024-09-22,20:53:32,Homicide,Philadelphia,PA,8436 Pine St,78,Non-binary,Black
367,2023-11-24,08:18:18,Burglary,Dallas,TX,3494 Pine St,89,Non-binary,Hispanic
368,2021-10-18,20:03:52,Arson,Dallas,TX,7179 Maple Ave,89,Male,Other
369,2024-03-13,00:01:07,Burglary,San Antonio,TX,3283 Pine St,40,Female,Black
370,2023-03-11,03:50:00,Burglary,Houston,TX,8216 Elm St,42,Other,Asian
371,2024-08-24,00:38:43,Burglary,Dallas,TX,9857 Maple Ave,57,Other,Hispanic
372,2024-09-17,20:43:27,Homicide,San Jose,CA,9172 Pine St,39,Non-binary,Asian
373,2023-04-19,18:22:20,Burglary,Chicago,IL,7820 Main St,14,Other,Asian
374,2021-05-02,22:59:02,Domestic Violence,San Jose,CA,6200 Pine St,58,Other,White
375,2023-11-04,08:49:14,Arson,Phoenix,AZ,329 Broadway,13,Female,White
376,2022-06-30,12:24:34,Vandalism,San Diego,CA,7978 Pine St,21,Male,Asian
377,2022-12-09,16:14:14,Assault,New York,NY,8610 Broadway,50,Female,Other
378,2023-11-09,01:58:04,Vandalism,Chicago,IL,1236 Elm St,34,Non-binary,Asian
379,2021-01-08,08:27:28,Robbery,San Antonio,TX,2098 Maple Ave,33,Other,White
380,2024-04-29,21:42:02,Theft,Houston,TX,377 Maple Ave,73,Female,Other
381,2024-06-30,13:21:41,Fraud,Phoenix,AZ,2301 Oak St,32,Non-binary,Black
382,2023-12-28,15:27:22,Vandalism,Phoenix,AZ,8733 Elm St,80,Female,Hispanic
383,2024-12-10,06:11:20,Domestic Violence,Phoenix,AZ,6879 Pine St,63,Other,White
384,2025-02-24,09:28:09,Domestic Violence,Chicago,IL,3081 Maple Ave,18,Male,Asian
385,2022-07-22,19:23:43,Domestic Violence,Chicago,IL,9108 Pine St,83,Female,Black
386,2021-03-17,12:44:24,Fraud,San Diego,CA,7543 Oak St,20,Non-binary,Hispanic
387,2022-11-25,07:47:47,Theft,San Diego,CA,8353 Broadway,58,Non-binary,Hispanic
388,2025-01-17,22:56:34,Fraud,Philadelphia,PA,1341 Broadway,35,Non-binary,Other
389,2021-07-12,00:16:43,Assault,Houston,TX,3257 Oak St,48,Male,White
390,2024-04-22,08:56:08,Theft,Philadelphia,PA,7016 Maple Ave,49,Other,White
391,2022-01-30,00:50:36,Assault,San Diego,CA,6668 Maple Ave,73,Female,Hispanic
392,2020-12-01,06:28:30,Drug Offense,San Antonio,TX,7478 Maple Ave,29,Non-binary,Other
393,2021-12-05,04:35:21,Domestic Violence,San Diego,CA,795 Pine St,53,Male,Black
394,2025-01-08,13:59:15,Drug Offense,Houston,TX,5442 Pine St,21,Male,Black
395,2022-02-26,20:47:30,Fraud,New York,NY,3599 Broadway,75,Female,Black
396,2020-11-26,14:35:21,Domestic Violence,Philadelphia,PA,2943 Elm St,64,Non-binary,Black
397,2021-12-18,07:54:38,Robbery,Houston,TX,2564 Main St,35,Male,Asian
398,2024-01-08,04:41:39,Domestic Violence,Dallas,TX,8972 Oak St,52,Non-binary,White
399,2024-03-03,15:44:59,Assault,Philadelphia,PA,6800 Main St,62,Other,Hispanic
400,2023-12-04,01:34:55,Robbery,San Antonio,TX,4136 Oak St,19,Non-binary,White
401,2022-02-08,13:38:53,Domestic Violence,San Antonio,TX,3064 Broadway,22,Non-binary,Hispanic
402,2025-03-07,22:16:58,Robbery,New York,NY,4745 Oak St,46,Female,Asian
403,2021-03-11,22:49:07,Homicide,San Jose,CA,4695 Elm St,22,Male,Hispanic
404,2022-01-09,15:28:14,Vandalism,San Jose,CA,3256 Pine St,79,Female,Other
405,2024-10-27,08:18:43,Vandalism,New York,NY,5268 Main St,74,Female,Asian
406,2020-12-22,00:00:51,Robbery,New York,NY,9006 Maple Ave,89,Non-binary,Black
407,2022-04-27,11:19:05,Assault,Los Angeles,CA,5742 Oak St,84,Male,Black
408,2023-02-06,01:42:26,Domestic Violence,Houston,TX,474 Main St,47,Non-binary,Other
409,2024-09-25,05:53:13,Domestic Violence,San Jose,CA,2406 Maple Ave,50,Female,White
410,2021-10-13,15:33:33,Burglary,Philadelphia,PA,2638 Pine St,19,Other,Black
411,2020-12-19,04:41:50,Arson,Los Angeles,CA,9586 Elm St,63,Other,Other
412,2022-07-05,09:37:07,Homicide,Philadelphia,PA,4853 Broadway,77,Non-binary,Hispanic
413,2024-02-24,17:55:50,Assault,Dallas,TX,2390 Oak St,15,Female,Black
414,2021-12-29,00:30:10,Arson,Los Angeles,CA,9040 Pine St,18,Other,Black
415,2022-10-04,12:31:50,Drug Offense,Houston,TX,9814 Maple Ave,41,Other,Hispanic
416,2022-11-30,10:45:33,Arson,Dallas,TX,7997 Main St,76,Other,Black
417,2025-03-28,23:06:19,Burglary,Los Angeles,CA,2313 Maple Ave,70,Other,Black
418,2021-02-14,07:57:11,Arson,New York,NY,8435 Main St,70,Male,Asian
419,2021-10-25,20:43:58,Vandalism,New York,NY,8377 Main St,55,Female,Asian
420,2022-06-16,00:02:44,Vandalism,San Jose,CA,7698 Broadway,46,Other,Black
421,2024-07-12,11:20:33,Burglary,San Diego,CA,7456 Elm St,33,Non-binary,Black
422,2022-03-10,10:46:20,Drug Offense,San Antonio,TX,1965 Maple Ave,61,Male,Other
423,2021-02-05,13:52:38,Robbery,Phoenix,AZ,9085 Pine St,14,Other,Black
424,2023-02-10,03:41:50,Fraud,Chicago,IL,6822 Pine St,74,Non-binary,White
425,2023-09-22,23:20:39,Assault,Dallas,TX,1410 Broadway,70,Male,Hispanic
426,2021-07-10,04:34:26,Fraud,Chicago,IL,5398 Oak St,28,Male,Other
427,2023-01-18,06:22:49,Homicide,Philadelphia,PA,1529 Maple Ave,28,Other,Other
428,2022-04-04,18:24:09,Burglary,Philadelphia,PA,3216 Elm St,77,Female,White
429,2024-09-13,07:20:35,Homicide,Houston,TX,554 Main St,30,Other,Other
430,2020-12-02,21:59:17,Fraud,Phoenix,AZ,2085 Pine St,30,Other,White
431,2022-10-26,00:48:41,Arson,Houston,TX,480 Broadway,64,Other,Hispanic
432,2020-09-26,22:21:42,Homicide,San Antonio,TX,2515 Elm St,55,Male,Asian
433,2025-05-20,23:43:34,Domestic Violence,San Antonio,TX,7578 Elm St,52,Male,Hispanic
434,2020-08-10,06:47:44,Fraud,Philadelphia,PA,2126 Oak St,83,Male,Hispanic
435,2023-08-21,01:55:38,Vandalism,Chicago,IL,7594 Broadway,31,Other,Asian
436,2021-01-30,17:44:52,Theft,San Diego,CA,19 Maple Ave,70,Non-binary,Other
437,2025-01-13,04:58:38,Assault,Los Angeles,CA,5881 Oak St,21,Female,Hispanic
438,2024-04-03,22:18:08,Domestic Violence,Los Angeles,CA,7745 Broadway,21,Female,Hispanic
439,2020-12-06,21:12:55,Domestic Violence,Los Angeles,CA,9037 Broadway,68,Other,White
440,2024-11-29,18:41:29,Homicide,Dallas,TX,2328 Main St,13,Male,Hispanic
441,2024-09-12,05:14:30,Domestic Violence,Chicago,IL,4898 Oak St,82,Female,Other
442,2023-08-31,03:53:37,Domestic Violence,San Antonio,TX,8544 Oak St,13,Male,Black
443,2022-12-17,12:23:18,Homicide,Los Angeles,CA,1258 Oak St,73,Female,Black
444,2021-07-11,09:46:50,Vandalism,Los Angeles,CA,779 Pine St,90,Other,Other
445,2020-09-17,12:48:25,Fraud,San Jose,CA,5373 Broadway,77,Non-binary,Hispanic
446,2024-05-09,21:09:21,Domestic Violence,San Jose,CA,4786 Oak St,80,Non-binary,Hispanic
447,2020-08-01,15:36:57,Vandalism,Los Angeles,CA,5798 Oak St,34,Male,Hispanic
448,2023-03-26,08:58:30,Robbery,Phoenix,AZ,9651 Main St,82,Other,White
449,2022-01-01,07:13:08,Theft,Chicago,IL,7099 Pine St,87,Other,Other
450,2021-08-01,18:24:37,Fraud,Philadelphia,PA,4973 Elm St,90,Female,Other
451,2023-05-10,10:06:19,Theft,Chicago,IL,6646 Pine St,41,Male,Hispanic
452,2022-01-22,19:31:10,Assault,Phoenix,AZ,161 Pine St,12,Male,Asian
453,2024-07-14,00:13:09,Theft,Philadelphia,PA,9221 Maple Ave,77,Non-binary,White
454,2024-10-24,03:50:44,Robbery,Chicago,IL,6925 Pine St,73,Male,White
455,2022-11-07,09:45:43,Homicide,Houston,TX,5766 Broadway,72,Other,Asian
456,2021-03-28,05:15:08,Drug Offense,Houston,TX,6831 Oak St,54,Non-binary,White
457,2021-07-18,13:34:45,Burglary,Philadelphia,PA,8611 Elm St,20,Non-binary,Asian
458,2025-06-11,23:54:00,Robbery,Philadelphia,PA,5201 Elm St,12,Female,White
459,2021-06-07,14:02:56,Homicide,Houston,TX,3614 Pine St,15,Female,Black
460,2021-03-07,17:49:27,Robbery,San Jose,CA,6946 Main St,47,Other,Asian
461,2025-06-27,01:47:02,Burglary,San Diego,CA,1595 Oak St,38,Other,White
462,2022-10-23,21:44:04,Burglary,Phoenix,AZ,8119 Maple Ave,57,Male,Other
463,2022-03-23,04:21:45,Robbery,San Diego,CA,8420 Oak St,44,Male,Black
464,2020-08-29,01:24:14,Theft,Houston,TX,1065 Oak St,46,Male,Asian
465,2024-02-22,12:03:58,Vandalism,Phoenix,AZ,4602 Main St,23,Non-binary,Black
466,2022-09-22,08:04:51,Burglary,Philadelphia,PA,8033 Maple Ave,85,Male,Other
467,2024-11-20,14:11:12,Burglary,New York,NY,7945 Main St,24,Non-binary,Other
468,2022-12-18,10:05:40,Assault,Phoenix,AZ,8802 Maple Ave,25,Other,Hispanic
469,2022-08-05,21:24:16,Assault,San Diego,CA,4907 Pine St,89,Non-binary,Asian
470,2021-08-15,22:38:36,Domestic Violence,San Diego,CA,8560 Maple Ave,84,Non-binary,Asian
471,2020-11-29,01:44:16,Drug Offense,Dallas,TX,202 Broadway,45,Non-binary,Hispanic
472,2022-03-09,19:36:09,Robbery,Dallas,TX,5922 Broadway,49,Non-binary,Hispanic
473,2021-06-27,03:04:38,Burglary,New York,NY,5326 Pine St,52,Female,Black
474,2024-07-21,03:50:01,Drug Offense,San Antonio,TX,47 Elm St,74,Other,Black
475,2022-06-20,15:55:08,Drug Offense,San Diego,CA,5427 Oak St,30,Male,Other
476,2020-11-24,08:15:51,Drug Offense,San Antonio,TX,515 Maple Ave,67,Male,Black
477,2025-06-22,05:08:07,Domestic Violence,Houston,TX,199 Elm St,52,Male,White
478,2022-09-12,16:21:02,Drug Offense,New York,NY,6777 Main St,18,Female,Other
479,2020-12-14,20:41:56,Burglary,San Jose,CA,2494 Oak St,47,Male,White
480,2024-02-21,14:49:35,Vandalism,San Antonio,TX,6344 Elm St,83,Male,Black
481,2023-02-03,01:55:12,Homicide,Philadelphia,PA,5710 Oak St,22,Non-binary,Other
482,2024-01-06,10:11:31,Vandalism,Dallas,TX,743 Broadway,51,Other,Asian
483,2022-10-13,16:52:34,Vandalism,San Antonio,TX,2418 Maple Ave,89,Female,White
484,2024-11-13,13:34:46,Assault,Houston,TX,2642 Broadway,28,Male,Black
485,2022-09-01,15:32:33,Burglary,Chicago,IL,6497 Oak St,14,Non-binary,Asian
486,2021-08-10,06:07:46,Robbery,Chicago,IL,9039 Main St,75,Male,Asian
487,2022-07-04,02:35:39,Robbery,Los Angeles,CA,1656 Elm St,53,Other,Hispanic
488,2023-12-11,14:03:18,Vandalism,San Diego,CA,7236 Broadway,86,Non-binary,Black
489,2023-05-17,06:07:08,Assault,Los Angeles,CA,55 Main St,74,Female,Black
490,2022-02-13,02:55:57,Robbery,Los Angeles,CA,9320 Elm St,67,Male,Hispanic
491,2021-02-03,13:38:03,Burglary,Los Angeles,CA,5284 Pine St,80,Male,White
492,2023-01-15,11:35:14,Domestic Violence,San Antonio,TX,9278 Broadway,59,Non-binary,Black
493,2023-03-22,00:00:33,Vandalism,New York,NY,9901 Broadway,88,Non-binary,Asian
494,2024-09-11,23:25:58,Homicide,San Antonio,TX,9426 Broadway,49,Other,Asian
495,2023-03-28,03:44:55,Robbery,Dallas,TX,5576 Broadway,30,Non-binary,Hispanic
496,2023-10-20,03:17:54,Assault,San Jose,CA,5842 Broadway,86,Female,Asian
497,2021-01-20,04:22:39,Vandalism,Chicago,IL,6857 Main St,70,Other,Other
498,2025-07-01,10:00:50,Arson,San Jose,CA,6126 Elm St,26,Male,Black
